x,y
244,373
246,375
247,376
249,379
251,381
356,510
251,382
359,509
359,509
359,509
359,509
359,509
359,509
360,509
360,509
360,509
360,509
239,405
360,509
228,406
360,509
223,406
360,509
212,405
360,509
202,407
360,509
202,407
360,509
204,412
360,509
207,416
360,509
208,418
360,509
210,423
360,509
212,425
360,509
212,426
359,509
216,431
360,509
218,435
360,509
219,436
360,508
222,440
360,508
224,444
360,508
222,444
360,508
222,444
360,508
222,444
360,508
222,444
360,508
223,444
360,508
222,444
360,508
223,445
360,508
227,444
360,508
233,445
360,508
235,445
360,508
241,444
360,508
244,445
360,508
244,444
360,508
244,444
360,508
249,444
360,508
252,444
360,508
255,443
360,508
253,442
360,508
249,444
360,508
245,444
360,508
239,444
360,508
239,444
360,508
245,444
360,508
253,444
360,508
260,445
360,508
268,445
360,508
268,445
360,508
265,445
360,508
260,443
360,508
259,444
360,508
259,444
360,508
260,444
360,508
261,444
360,508
261,444
360,508
261,443
360,508
261,443
360,508
261,443
360,508
261,444
360,508
261,444
360,508
261,444
360,508
261,444
360,508
261,444
360,508
263,445
360,508
270,444
360,508
274,445
360,508
274,445
360,508
266,445
360,508
260,445
360,508
259,444
360,508
264,445
360,508
270,445
360,508
273,445
360,508
272,445
360,508
265,445
360,508
260,444
360,508
258,444
360,508
261,444
360,508
264,444
361,509
274,444
361,509
274,444
361,509
272,444
361,508
259,441
443,78
361,508
246,440
361,508
241,440
361,509
229,439
361,508
217,436
361,508
210,435
361,508
198,435
361,508
186,433
361,508
179,433
360,508
168,432
360,508
155,430
359,509
150,429
359,508
139,428
359,508
127,427
359,508
122,425
359,508
110,425
359,508
99,424
358,507
93,423
358,507
81,422
358,507
76,418
358,508
80,419
358,508
87,415
357,507
93,413
356,507
95,412
356,507
101,411
356,507
108,409
356,507
110,409
356,508
114,404
356,508
356,508
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
108,402
356,507
103,405
356,507
101,405
356,507
94,407
356,507
89,406
356,507
85,407
356,507
80,408
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
357,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
356,507
357,508
357,508
357,508
358,507
357,507
359,506
354,507
238,134
215,121
208,119
460,219
435,237
399,268
369,282
351,289
334,300
291,341
289,346
283,352
281,357
277,360
271,366
269,369
265,374
260,379
256,382
252,386
231,412
228,414
222,419
219,423
214,427
209,433
207,435
202,439
196,443
195,447
181,455
180,457
164,478
158,483
156,486
152,490
144,497
143,498
139,502
133,506
130,509
126,513
120,518
117,521
113,527
110,530
108,532
108,530
108,523
111,519
115,512
119,503
121,500
125,492
129,485
132,482
135,480
144,453
149,449
150,446
154,440
158,433
159,430
161,422
164,417
167,413
171,409
175,406
157,405
152,405
148,405
148,407
159,407
168,411
175,415
181,417
190,419
198,422
201,423
210,426
218,430
221,431
229,435
238,438
240,439
248,442
249,442
249,443
249,444
248,444
248,444
249,443
248,443
247,443
248,442
250,443
251,444
254,443
252,444
248,444
243,442
239,442
237,442
236,442
240,442
240,442
244,442
248,442
248,443
250,442
248,442
247,444
244,442
244,443
244,443
247,442
246,443
248,444
244,442
449,132
242,442
241,442
241,442
241,442
241,442
240,444
237,444
239,443
237,443
237,443
237,443
237,443
237,443
237,443
238,443
238,443
238,443
239,443
247,443
255,443
270,444
410,68
473,141
470,146
466,142
461,140
460,138
452,133
441,131
436,131
428,126
418,124
414,124
408,123
405,119
404,116
399,115
397,113
395,112
393,111
392,109
391,109
389,109
387,109
385,110
383,111
378,114
374,115
175,175
370,116
364,117
185,174
360,118
353,117
193,98
346,115
340,114
329,111
320,107
313,106
300,104
286,106
283,110
271,121
248,143
246,152
240,157
228,162
231,169
220,152
216,158
211,156
208,152
190,157
180,157
84,155
73,147
51,131
30,116
462,239
372,262
339,283
390,276
379,276
318,295
308,300
305,298
295,291
288,285
260,259
253,255
250,253
241,248
235,244
232,241
224,236
218,228
215,229
206,225
209,225
211,225
214,224
220,224
223,223
228,223
232,224
238,222
240,224
244,223
247,223
247,222
246,223
245,223
244,222
245,223
245,223
246,223
246,223
245,223
244,223
243,223
243,223
243,223
242,225
242,225
242,225
242,225
242,225
242,225
242,225
242,225
242,225
243,223
242,224
243,225
246,224
248,224
249,224
245,225
242,224
238,223
237,224
239,223
242,224
242,225
242,224
240,224
239,224
241,224
245,224
247,224
245,224
240,224
237,224
238,223
248,222
260,224
267,222
46,123
68,114
78,103
102,98
121,104
129,102
151,113
170,122
173,130
186,139
192,148
197,173
191,176
184,178
177,183
176,183
174,183
173,186
173,185
173,185
173,185
172,185
172,185
174,187
174,187
174,187
174,187
174,187
173,187
173,188
173,187
174,185
174,183
172,182
172,184
171,184
170,183
170,183
170,183
170,183
170,183
171,183
171,183
171,183
172,183
171,183
172,184
172,184
172,184
172,184
172,184
172,184
173,183
173,183
173,183
173,183
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,184
172,183
172,183
172,183
172,183
172,183
172,183
172,183
172,184
172,184
172,184
174,185
178,184
184,184
207,185
225,182
256,569
257,562
264,520
265,511
268,492
271,457
273,442
275,424
277,414
281,381
282,372
283,365
284,366
283,367
284,369
285,370
285,372
286,374
286,377
286,378
286,379
288,382
287,382
288,384
287,383
288,385
288,386
288,369
287,367
291,362
292,363
293,363
293,365
295,362
295,361
296,362
297,363
297,362
299,363
299,361
299,361
299,361
301,360
301,360
302,359
303,358
304,359
49,56
45,52
227,243
177,195
123,146
113,137
89,111
68,92
57,85
39,64
22,50
16,42
6,27
39,6
49,11
56,13
73,15
80,20
83,22
87,29
87,32
87,37
83,41
72,46
64,49
45,60
24,70
15,75
138,115
138,115
138,115
398,4
1,83
14,76
21,75
40,72
59,71
68,72
91,80
114,88
122,93
135,107
148,121
154,128
166,140
160,173
157,179
153,180
148,183
144,184
141,185
141,185
141,185
142,183
142,184
143,184
142,184
143,183
142,183
141,183
142,184
140,185
139,185
139,185
138,185
138,184
138,184
138,185
138,184
138,184
138,185
138,185
138,185
138,185
138,185
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
137,184
137,184
137,184
137,184
138,185
138,185
138,185
138,185
138,185
138,185
138,185
138,185
138,184
138,184
138,185
138,185
138,185
138,185
138,185
138,185
138,184
139,184
139,184
139,184
139,184
139,184
139,184
139,184
139,184
137,184
138,185
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
137,184
136,184
136,184
136,184
136,184
136,184
136,184
136,184
136,184
136,184
137,184
137,184
137,184
137,184
137,184
137,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,184
138,185
138,185
138,185
138,185
138,185
138,185
137,185
138,185
138,185
138,185
139,185
139,185
139,184
139,185
139,185
139,185
139,185
139,185
139,185
139,184
139,184
139,184
139,184
139,184
138,184
139,184
139,184
139,184
139,184
139,184
139,184
139,184
139,184
139,184
143,185
150,185
165,185
187,185
199,184
219,184
240,185
251,185
271,185
145,185
169,183
183,184
209,186
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
164,115
474,217
446,209
414,209
401,208
384,219
352,260
356,259
357,259
357,258
359,260
359,260
360,259
360,259
360,258
361,259
366,260
366,259
366,258
367,258
366,259
373,260
371,258
371,258
371,258
371,258
371,258
371,258
370,258
370,258
369,257
369,256
369,256
368,256
368,256
369,256
369,257
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
366,254
366,254
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
